Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
core.entity_form_display.node.person.default:third_party_settings:field_group:group_locations:labelLocations,Locations,x,x,,x
"core.entity_form_display.node.person.default:third_party_settings:field_group:group_locations:format_settings:descriptionA set of location related fields that include mapping/geographic data for visually placing and displaying person records, as well as descriptive and taxonomic fields.","A set of location related fields that include mapping/geographic data for visually placing and displaying person records, as well as descriptive and taxonomic fields.",x,x,,x
core.entity_form_display.node.person.default:content:field_related_people:settings:titleRelated People,Related People,x,x,,x
core.entity_form_display.node.person.default:content:field_related_people:settings:title_pluralRelated People,Related People,x,x,,x
core.entity_form_display.node.person.default:content:field_sections:settings:titleSection,Section,x,,,x
core.entity_form_display.node.person.default:content:field_sections:settings:title_pluralSections,Sections,x,,,x
core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_main_tab:labelMain Tab,Main Tab,x,x,,x
core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_mukurtu_essentials:labelMukurtu Essentials,Mukurtu Essentials,x,x,,x
core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_related_content:labelRelated Content,Related Content,x,x,,x
core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_additional_fields:labelAdditional Fields,Additional Fields,x,x,,x
core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_local_contexts:labelLocal Contexts,Local Contexts,x,x,,x
"core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_local_contexts:format_settings:description""The Local Contexts Traditional Knowledge (TK) and Biocultural (BC) Labels are tools for Indigenous communities and local organizations. Developed through sustained partnership and testing within Indigenous communities across multiple countries, the Labels allow communities to express local and specific conditions for sharing and engaging in future research and relationships in ways that are consistent with already existing community rules, governance, and protocols for using, sharing, and circulating knowledge and data."" For more information, visit <a href=""https://localcontexts.org"">localcontexts.org</a>. </br>You must first customize your TK and BC Labels using the Local Contexts Hub and import your Project(s) before you can apply Projects or Labels to collections. </br>Note that this does NOT apply Projects or Labels to words within the word list, that is done on a per-word basis.","""The Local Contexts Traditional Knowledge (TK) and Biocultural (BC) Labels are tools for Indigenous communities and local organizations. Developed through sustained partnership and testing within Indigenous communities across multiple countries, the Labels allow communities to express local and specific conditions for sharing and engaging in future research and relationships in ways that are consistent with already existing community rules, governance, and protocols for using, sharing, and circulating knowledge and data."" For more information, visit <a href=""https://localcontexts.org"">localcontexts.org</a>. </br>You must first customize your TK and BC Labels using the Local Contexts Hub and import your Project(s) before you can apply Projects or Labels to collections. </br>Note that this does NOT apply Projects or Labels to words within the word list, that is done on a per-word basis.",x,x,,x
core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_locations:labelLocations,Locations,x,x,,x
"core.entity_form_display.node.word_list.default:third_party_settings:field_group:group_locations:format_settings:descriptionA set of location related fields that include mapping/geographic data for visually placing and displaying word lists, as well as descriptive and taxonomic fields.","A set of location related fields that include mapping/geographic data for visually placing and displaying word lists, as well as descriptive and taxonomic fields.",x,x,,x
core.entity_form_display.paragraph.dictionary_word_entry.default:content:field_sample_sentences:settings:titleSample Sentence,Sample Sentence,x,x,,x
core.entity_form_display.paragraph.dictionary_word_entry.default:content:field_sample_sentences:settings:title_pluralSample Sentences,Sample Sentences,x,x,,x
core.entity_form_display.personal_collection.personal_collection.default:third_party_settings:field_group:group_main_tab:labelMain Tab,Main Tab,x,x,,x
core.entity_form_display.personal_collection.personal_collection.default:third_party_settings:field_group:group_mukurtu_essentials:labelMukurtu Essentials,Mukurtu Essentials,x,x,,x
core.entity_form_display.personal_collection.personal_collection.default:third_party_settings:field_group:group_items:labelItems,Items,x,x,,x
core.entity_form_mode.media.media_library:labelMedia library,Media library,x,x,,x
core.entity_form_mode.user.register:labelRegister,Register,x,x,,x
core.entity_view_display.community.community.full:third_party_settings:field_group:group_community_content:labelCommunity Content,Community Content,x,x,,x
core.entity_view_display.community.community.full:third_party_settings:field_group:group_community_sidebar:labelCommunity Sidebar,Community Sidebar,x,x,,x
core.entity_view_display.config_pages.design_settings.default:content:field_palette_brand_primary:settings:formathex,hex,x,,,x
core.entity_view_display.config_pages.design_settings.default:content:field_palette_brand_primary_acc:settings:formathex,hex,x,,,x
core.entity_view_display.config_pages.design_settings.default:content:field_palette_brand_primary_dark:settings:formathex,hex,x,,,x
core.entity_view_display.config_pages.design_settings.default:content:field_palette_brand_secondary:settings:formathex,hex,x,,,x
core.entity_view_display.config_pages.design_settings.default:content:field_palette_brand_secondary_ac:settings:formathex,hex,x,,,x
core.entity_view_display.config_pages.design_settings.default:content:field_palette_brand_secondary_da:settings:formathex,hex,x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:fitbounds_options{""padding"":[0,0]}","{""padding"":[0,0]}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:reset_map:options{""position"":""topleft"",""title"":""Reset View""}","{""position"":""topleft"",""title"":""Reset View""}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:map_scale:options{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}","{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:locate:options{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}","{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:leaflet_tooltip:options{""permanent"":false,""direction"":""center""}","{""permanent"":false,""direction"":""center""}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:leaflet_popup:options{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}","{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:leaflet_markercluster:options{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}","{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",x,,,x
"core.entity_view_display.node.collection.full:content:field_coverage:settings:path{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}","{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}",x,,,x
core.entity_view_display.node.dictionary_word.full:third_party_settings:field_group:group_metadata:labelMetadata,Metadata,x,,,x
core.entity_view_display.node.dictionary_word.full:third_party_settings:field_group:group_primary_fields:labelPrimary Fields,Primary Fields,x,,,x
core.entity_view_display.node.dictionary_word.full:third_party_settings:field_group:group_base_word_entry:labelBase Word Entry,Base Word Entry,x,x,,x
core.entity_view_display.node.dictionary_word.full:third_party_settings:field_group:group_additional_word_entries:labelAdditional Word Entries,Additional Word Entries,x,x,,x
core.entity_view_display.node.dictionary_word.full:third_party_settings:field_group:group_additional_fields:labelAdditional Information,Additional Information,x,x,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:fitbounds_options{""padding"":[0,0]}","{""padding"":[0,0]}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:reset_map:options{""position"":""topleft"",""title"":""Reset View""}","{""position"":""topleft"",""title"":""Reset View""}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:map_scale:options{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}","{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:locate:options{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}","{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:leaflet_tooltip:options{""permanent"":false,""direction"":""center""}","{""permanent"":false,""direction"":""center""}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:leaflet_popup:options{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}","{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:leaflet_markercluster:options{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}","{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",x,,,x
"core.entity_view_display.node.dictionary_word.full:content:field_coverage:settings:path{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}","{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}",x,,,x
core.entity_view_display.node.digital_heritage.full:third_party_settings:field_group:group_metadata:labelMetadata,Metadata,x,,,x
core.entity_view_display.node.digital_heritage.full:third_party_settings:field_group:group_primary_fields:labelPrimary Fields,Primary Fields,x,,,x
core.entity_view_display.node.digital_heritage.full:third_party_settings:field_group:group_sidebar_mukurtu_fields:labelSidebar - Mukurtu fields,Sidebar - Mukurtu fields,x,,,x
core.entity_view_display.node.digital_heritage.full:third_party_settings:field_group:group_additional_metadata:labelAdditional Metadata,Additional Metadata,x,x,,x
core.entity_view_display.node.digital_heritage.full:third_party_settings:field_group:group_rights:labelRights,Rights,x,x,x,x
"core.entity_view_display.node.digital_heritage.full:content:field_coverage:settings:leaflet_markercluster:options{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"":false}","{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"":false}",x,,,x
"core.entity_view_display.node.digital_heritage.full:content:field_coverage:settings:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",x,,,x
"core.entity_view_display.node.digital_heritage.full:content:field_coverage:settings:path{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}","{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}",x,,,x
core.entity_view_display.node.digital_heritage.taxonomy_record:third_party_settings:field_group:group_metadata:labelMetadata,Metadata,x,,,x
core.entity_view_display.node.digital_heritage.taxonomy_record:third_party_settings:field_group:group_primary_fields:labelPrimary Fields,Primary Fields,x,,,x
"core.entity_view_display.node.digital_heritage.taxonomy_record:content:field_coverage:settings:leaflet_markercluster:options{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}","{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}",x,,,x
"core.entity_view_display.node.digital_heritage.taxonomy_record:content:field_coverage:settings:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",x,,,x
"core.entity_view_display.node.digital_heritage.taxonomy_record:content:field_coverage:settings:path{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}","{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}",x,,,x
core.entity_view_display.node.person.full:third_party_settings:field_group:group_primary_fields:labelPrimary Fields,Primary Fields,x,,,x
core.entity_view_display.node.person.full:third_party_settings:field_group:group_metadata:labelMetadata,Metadata,x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:fitbounds_options{""padding"":[0,0]}","{""padding"":[0,0]}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:reset_map:options{""position"":""topleft"",""title"":""Reset View""}","{""position"":""topleft"",""title"":""Reset View""}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:map_scale:options{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}","{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:locate:options{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}","{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:leaflet_tooltip:options{""permanent"":false,""direction"":""center""}","{""permanent"":false,""direction"":""center""}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:leaflet_popup:options{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}","{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:leaflet_markercluster:options{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}","{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",x,,,x
"core.entity_view_display.node.person.full:content:field_coverage:settings:path{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}","{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:fitbounds_options{""padding"":[0,0]}","{""padding"":[0,0]}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:reset_map:options{""position"":""topleft"",""title"":""Reset View""}","{""position"":""topleft"",""title"":""Reset View""}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:map_scale:options{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}","{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:locate:options{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}","{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:leaflet_tooltip:options{""permanent"":false,""direction"":""center""}","{""permanent"":false,""direction"":""center""}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:leaflet_popup:options{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}","{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:leaflet_markercluster:options{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}","{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",x,,,x
"core.entity_view_display.node.word_list.full:content:field_coverage:settings:path{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}","{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}",x,,,x
core.entity_view_display.protocol.protocol.default:third_party_settings:field_group:group_protocol_content:labelProtocol Content,Protocol Content,x,x,,x
core.entity_view_display.protocol.protocol.default:third_party_settings:field_group:group_protocol_sidebar:labelProtocol Sidebar,Protocol Sidebar,x,,,x
core.entity_view_mode.block.token:labelToken,Token,,,,
core.entity_view_mode.block_content.full:labelFull,Full,,,,
core.entity_view_mode.block_content.token:labelToken,Token,,,,
core.entity_view_mode.comment.full:labelFull comment,Full comment,x,x,,
core.entity_view_mode.comment.token:labelToken,Token,,,,
core.entity_view_mode.community.browse:labelBrowse,Browse,x,x,x,
core.entity_view_mode.community.full:labelFull,Full,,,,
core.entity_view_mode.config_pages.full:labelFull,Full,,,,
core.entity_view_mode.contact_message.token:labelToken,Token,,,,
core.entity_view_mode.content_moderation_state.token:labelToken,Token,,,,
core.entity_view_mode.file.token:labelToken,Token,,,,
core.entity_view_mode.flagging.token:labelToken,Token,,,,
core.entity_view_mode.media.audio_for_dictionary_teaser:labelAudio Player with Contributor,Audio Player with Contributor,x,x,,
core.entity_view_mode.media.browse:labelBrowse,Browse,x,x,,
core.entity_view_mode.media.carousel_thumbnail:labelCarousel Thumbnail,Carousel Thumbnail,x,,,
core.entity_view_mode.media.collections_3_2_:labelCollections (3:2),Collections (3:2),x,,,
core.entity_view_mode.media.digital_heritage_full:labelLarge (900 px),Large (900 px),x,,,
core.entity_view_mode.media.digital_heritage_sidebar:labelMedium (480px),Medium (480px),x,,,
core.entity_view_mode.media.full:labelFull content,Full content,x,,,
core.entity_view_mode.media.media_assets:labelMedia Assets,Media Assets,x,x,,
core.entity_view_mode.media.media_library:labelMedia library,Media library,x,x,,
core.entity_view_mode.media.small_250px_:labelSmall (250px),Small (250px),x,,,
core.entity_view_mode.media.token:labelToken,Token,,,,
core.entity_view_mode.menu_link_content.token:labelToken,Token,,,,
core.entity_view_mode.message.full:labelFull content,Full content,x,,,
core.entity_view_mode.message.mail_body:labelNotify - Email body,Notify - Email body,x,x,,
core.entity_view_mode.message.mail_subject:labelNotify - Email subject,Notify - Email subject,x,x,,
core.entity_view_mode.message.token:labelToken,Token,,,,
core.entity_view_mode.message_template.token:labelToken,Token,,,,
core.entity_view_mode.node.browse:labelList Browse,List Browse,x,x,x,
core.entity_view_mode.node.browse_collections:labelBrowse Collections,Browse Collections,x,x,x,
core.entity_view_mode.node.featured:labelFeatured,Featured,x,x,x,
core.entity_view_mode.node.featured:descriptionContent cards for using as featured items,Content cards for using as featured items,x,,,
core.entity_view_mode.node.full:labelFull content,Full content,x,,,
core.entity_view_mode.node.grid_browse:labelGrid Browse,Grid Browse,x,x,x,
core.entity_view_mode.node.map_browse:labelMap Browse,Map Browse,x,x,x,
core.entity_view_mode.node.multipage_browse:labelMultipage Browse,Multipage Browse,x,x,x,
core.entity_view_mode.node.rss:labelRSS,RSS,,,,
core.entity_view_mode.node.search_index:labelSearch index,Search index,x,,,
core.entity_view_mode.node.search_preview:labelSearch preview,Search preview,x,,,
core.entity_view_mode.node.search_result:labelSearch result highlighting input,Search result highlighting input,x,,,
core.entity_view_mode.node.taxonomy_record:labelTaxonomy Record,Taxonomy Record,x,x,,
core.entity_view_mode.node.teaser:labelTeaser,Teaser,x,x,,
core.entity_view_mode.node.token:labelToken,Token,,,,
core.entity_view_mode.paragraph.preview:labelPreview,Preview,x,x,,
core.entity_view_mode.paragraph.teaser:labelTeaser - Recording,Teaser - Recording,x,x,,
core.entity_view_mode.paragraph.teaser_translation:labelTeaser - Translation,Teaser - Translation,x,x,,
core.entity_view_mode.paragraph.token:labelToken,Token,,,,
core.entity_view_mode.path_alias.token:labelToken,Token,,,,
core.entity_view_mode.personal_collection.full:labelFull content,Full content,x,,,
core.entity_view_mode.personal_collection.teaser:labelTeaser,Teaser,x,,,
core.entity_view_mode.search_api_task.token:labelToken,Token,,,,
core.entity_view_mode.shortcut.token:labelToken,Token,,,,
core.entity_view_mode.taxonomy_term.full:labelTaxonomy term page,Taxonomy term page,x,x,,
core.entity_view_mode.taxonomy_term.teaser:labelTeaser,Teaser,,,,
core.entity_view_mode.taxonomy_term.token:labelToken,Token,,,,
core.entity_view_mode.user.compact:labelCompact,Compact,x,,,
core.entity_view_mode.user.full:labelUser account,User account,x,x,x,
core.entity_view_mode.user.token:labelToken,Token,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:layout_settings:labelmain content,main content,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:0d6f9095-ddc7-4e04-b102-a47eab86f9dc:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:24d3fdd1-9a07-42ea-b88d-04d22f8cf684:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:48e2a2ac-3168-4726-acac-eb63ac5f59a3:configuration:labelYour Drafts,Your Drafts,x,x,x,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:48e2a2ac-3168-4726-acac-eb63ac5f59a3:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:48e2a2ac-3168-4726-acac-eb63ac5f59a3:configuration:views_labelYour Drafts,Your Drafts,x,x,x,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:177c8838-ecba-43f7-9acb-813187ae16f3:configuration:labelMy content,My content,x,x,x,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:177c8838-ecba-43f7-9acb-813187ae16f3:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:7750a799-df47-49a4-883f-e4b0f8342104:configuration:labelMigration,Migration,x,,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:7750a799-df47-49a4-883f-e4b0f8342104:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:7ea8f4fe-f816-4b62-80ed-597ea6d8d39a:configuration:labelSite information,Site information,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:7ea8f4fe-f816-4b62-80ed-597ea6d8d39a:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:4baf6b8d-6deb-4742-aac9-5a4ca97be575:configuration:labelUsers,Users,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:4baf6b8d-6deb-4742-aac9-5a4ca97be575:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:8e52ecf9-f13d-4974-b4e5-9ecff8af170a:configuration:labelContent,Content,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:8e52ecf9-f13d-4974-b4e5-9ecff8af170a:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:9c53fff8-81e9-481e-b21c-2000b83a178e:configuration:labelMedia,Media,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:9c53fff8-81e9-481e-b21c-2000b83a178e:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:bb1a29d8-00e8-4229-b1b0-20d69ca33db7:configuration:labelContent settings,Content settings,x,,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:bb1a29d8-00e8-4229-b1b0-20d69ca33db7:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:0339943d-08c4-45a9-9f08-052ad308db5e:configuration:labelSite settings,Site settings,x,,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:0339943d-08c4-45a9-9f08-052ad308db5e:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:6952fdbe-035a-4ccc-af26-e0dcd691187e:configuration:labelRoundtrip,Roundtrip,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:6952fdbe-035a-4ccc-af26-e0dcd691187e:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:a663f15a-8760-424c-9433-c3f97fa8b623:configuration:labelMultilingual,Multilingual,x,,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:a663f15a-8760-424c-9433-c3f97fa8b623:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:02ce0aa5-8aec-43f3-b2e0-62d5dbf8efce:configuration:labelLook and feel,Look and feel,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:02ce0aa5-8aec-43f3-b2e0-62d5dbf8efce:configuration:label_displayvisible,visible,,,,
dashboards.dashboard.mukurtu_dashboard:sections:0:components:58ca9634-095d-4720-9aed-76c640314ac4:configuration:labelTaxonomies,Taxonomies,x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:58ca9634-095d-4720-9aed-76c640314ac4:configuration:label_displayvisible,visible,,,,
"dashboards.dashboard.mukurtu_dashboard:sections:0:components:50f4bbbe-2fa6-4b11-b0c5-221705fb726c:configuration:labelCommunities, cultural protocols, categories","Communities, cultural protocols, categories",x,x,,x
dashboards.dashboard.mukurtu_dashboard:sections:0:components:50f4bbbe-2fa6-4b11-b0c5-221705fb726c:configuration:label_displayvisible,visible,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:0:labelPlain text,Plain text,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:1:labelC,C,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:2:labelC#,C#,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:3:labelC++,C++,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:4:labelCSS,CSS,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:5:labelDiff,Diff,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:6:labelHTML,HTML,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:7:labelJava,Java,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:8:labelJavaScript,JavaScript,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:9:labelPHP,PHP,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:10:labelPython,Python,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:11:labelRuby,Ruby,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:12:labelTypeScript,TypeScript,,,,
editor.editor.full_html:settings:plugins:ckeditor5_codeBlock:languages:13:labelXML,XML,,,,
embed.button.node:labelNode,Node,,,,
