Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
core.base_field_override.block_content.image_with_description.status:settings:on_labelOn,On,x,,,
core.base_field_override.block_content.image_with_description.status:settings:off_labelOff,Off,x,,,
core.base_field_override.block_content.vertical_image_with_description.changed:labelChanged,Changed,x,,,
core.base_field_override.block_content.vertical_image_with_description.changed:descriptionThe time that the content block was last edited.,The time that the content block was last edited.,x,,,
core.base_field_override.block_content.vertical_image_with_description.info:labelBlock description,Block description,x,,,
core.base_field_override.block_content.vertical_image_with_description.info:descriptionA brief description of your block.,A brief description of your block.,x,,,
core.base_field_override.block_content.vertical_image_with_description.status:labelPublished,Published,x,,,
core.base_field_override.block_content.vertical_image_with_description.status:settings:on_labelOn,On,x,,,
core.base_field_override.block_content.vertical_image_with_description.status:settings:off_labelOff,Off,x,,,
core.base_field_override.community.community.field_description:labelDescription,Description,x,x,,
core.base_field_override.community.community.field_local_contexts_description:labelLocal Contexts Description,Local Contexts Description,x,x,,
core.base_field_override.community.community.name:labelCommunity name,Community name,x,x,,
core.base_field_override.community.community.name:descriptionThe name of the Community.,The name of the Community.,x,x,,
core.base_field_override.community.community.path:labelURL alias,URL alias,x,,,
core.base_field_override.community.community.status:labelPublished,Published,x,,,
core.base_field_override.community.community.status:descriptionA boolean indicating whether the Community is published.,A boolean indicating whether the Community is published.,x,,,
core.base_field_override.community.community.status:settings:on_labelOn,On,x,,,
core.base_field_override.community.community.status:settings:off_labelOff,Off,x,,,
core.base_field_override.language_community.language_community.status:labelPublished,Published,x,,,
core.base_field_override.language_community.language_community.status:descriptionA boolean indicating whether the Language community is published.,A boolean indicating whether the Language community is published.,x,,,
core.base_field_override.language_community.language_community.status:settings:on_labelOn,On,x,,,
core.base_field_override.language_community.language_community.status:settings:off_labelOff,Off,x,,,
core.base_field_override.language_community.language_community.user_id:labelAuthored by,Authored by,x,x,,
core.base_field_override.language_community.language_community.user_id:descriptionThe user ID of author of the Language community.,The user ID of author of the Language community.,x,x,,
core.base_field_override.menu_link_content.menu_link_content.changed:labelChanged,Changed,x,x,,
core.base_field_override.menu_link_content.menu_link_content.changed:descriptionThe time that the menu link was last edited.,The time that the menu link was last edited.,x,x,,
core.base_field_override.menu_link_content.menu_link_content.description:labelDescription,Description,x,x,,
core.base_field_override.menu_link_content.menu_link_content.description:descriptionShown when hovering over the menu link.,Shown when hovering over the menu link.,x,x,,
core.base_field_override.menu_link_content.menu_link_content.title:labelMenu link title,Menu link title,x,x,,
core.base_field_override.multipage_item.multipage_item.title:labelTitle,Title,x,x,x,
